SGD_NUM,SGD_DATE,RECEIPT_NUM,IMPORTER_TIN,IMPORTER_NAME,DECLARANT_CODE,DECLARANT_NAME,OFFICE_CODE,ORIGIN_CODE,HSCODE,ITM_NUM,INITIAL_ITM_QTY,INITIAL_ITM_WEIGHT,INITIAL_ITM_FOB,INITIAL_ITM_CIF,INITIAL_ITM_TOTAL_TAX,INITIAL_TOTAL_TAX,key_identifier
C12861,2020-04-18T00:00:00Z,R14335,IMPW2166,IMPNAMEW2226,DEC6463,IMPW129,OFFICE92,CNTRY277,2621900000,43831,91,182273,3025932,8776321,1242677,1242677,C12861_2020-04-18_OFFICE92_43831_2621900000
C12862,2020-04-18T00:00:00Z,R14334,IMPW2166,IMPNAMEW2226,DEC6463,IMPW129,OFFICE92,CNTRY277,8205100000,43862,5,1521,8775209,9505047,1951623,2184755,C12862_2020-04-18_OFFICE92_43862_8205100000
C12862,2020-04-18T00:00:00Z,R14334,IMPW2166,IMPNAMEW2226,DEC6463,IMPW129,OFFICE92,CNTRY277,8465990000,43863,5,1521,3177522,3441975,233132,2184755,C12862_2020-04-18_OFFICE92_43863_8465990000
C12865,2020-04-18T00:00:00Z,R14045,IMP323400,IMPNAMEW7157,DEC8458,DECNAMEW388,OFFICE92,CNTRY759,8484100000,43922,6,334.25,6371047,6371047,85471,508254,C12865_2020-04-18_OFFICE92_43922_8484100000
C12865,2020-04-18T00:00:00Z,R14045,IMP323400,IMPNAMEW7157,DEC8458,DECNAMEW388,OFFICE92,CNTRY759,7318190000,43925,5,334.25,6371047,6371047,65120,508254,C12865_2020-04-18_OFFICE92_43925_7318190000
C12865,2020-04-18T00:00:00Z,R14045,IMP323400,IMPNAMEW7157,DEC8458,DECNAMEW388,OFFICE92,CNTRY759,7318150000,43924,5,334.25,6371047,6371047,103198,508254,C12865_2020-04-18_OFFICE92_43924_7318150000
C12865,2020-04-18T00:00:00Z,R14045,IMP323400,IMPNAMEW7157,DEC8458,DECNAMEW388,OFFICE92,CNTRY759,8411990000,43923,5,334.25,6371047,6371047,254465,508254,C12865_2020-04-18_OFFICE92_43923_8411990000
C12869,2020-04-20T00:00:00Z,R14277,IMP256823,IMPNAME776077,DEC7588,IMPW1169,OFFICE92,CNTRY680,8546200000,43831,1400,25000,3797248,4506207,542670,542670,C12869_2020-04-20_OFFICE92_43831_8546200000
C12894,2020-04-20T00:00:00Z,NA,IMP921572,IMPNAME593296,DEC9628,IMPW1381,OFFICE92,CNTRY713,7307910000,43922,1,2000,4193354,4634414,1483719,4153074,C12894_2020-04-20_OFFICE92_43922_7307910000
C12894,2020-04-20T00:00:00Z,NA,IMP921572,IMPNAME593296,DEC9628,IMPW1381,OFFICE92,CNTRY713,8484100000,43925,1,2898,211248,233325,28247,4153074,C12894_2020-04-20_OFFICE92_43925_8484100000
