SGD_NUM,SGD_DATE,IMPORTER_TIN,DECLARANT_CODE,OFFICE_CODE,ORIGIN_CODE,HSCODE,ITM_NUM,XGB,Ranking-XGB,XGB+LR,Ranking-XGB+LR,DATE_CLS,Ranking-DATE_CLS,DATE_REV,Ranking-DATE_REV
C12861,2020-04-18T00:00:00Z,IMPW2166,DEC6463,OFFICE92,CNTRY277,2621900000,43831,0.007387833000000002,759,0.07377422177841958,359,0.01933806389570236,357,0.0067832618951797485,293
C12862,2020-04-18T00:00:00Z,IMPW2166,DEC6463,OFFICE92,CNTRY277,8205100000,43862,0.019617323,367,0.12005954521974872,317,0.04620099812746048,280,0.021700099110603333,264
C12862,2020-04-18T00:00:00Z,IMPW2166,DEC6463,OFFICE92,CNTRY277,8465990000,43863,0.003429534,958,0.0014568483742102454,815,0.00011264925706200303,1868,-0.012124717235565186,2047
C12865,2020-04-18T00:00:00Z,IMP323400,DEC8458,OFFICE92,CNTRY759,8484100000,43922,0.004001006,912,0.00021111100078078943,1053,0.004093157593160868,572,0.0013478100299835205,319
C12865,2020-04-18T00:00:00Z,IMP323400,DEC8458,OFFICE92,CNTRY759,7318190000,43925,0.004509968,877,0.00016776420559802416,1078,0.0021178065799176693,675,0.0006830543279647827,328
C12865,2020-04-18T00:00:00Z,IMP323400,DEC8458,OFFICE92,CNTRY759,7318150000,43924,0.009090220999999999,670,0.0035297205401273353,713,0.012300195172429085,416,0.002417460083961487,310
C12865,2020-04-18T00:00:00Z,IMP323400,DEC8458,OFFICE92,CNTRY759,8411990000,43923,0.037682417999999995,245,0.2840352348865109,210,0.021540693938732147,343,-0.004825308918952942,646
C12869,2020-04-20T00:00:00Z,IMP256823,DEC7588,OFFICE92,CNTRY680,8546200000,43831,0.005932525699999999,813,0.0002461744150898865,1029,1.207026252814103e-05,2092,-0.014923453330993652,2087
C12894,2020-04-20T00:00:00Z,IMP921572,DEC9628,OFFICE92,CNTRY713,7307910000,43922,0.04104321,234,0.040079097755851986,430,0.0029270101804286237,622,-0.005851536989212036,851
C12894,2020-04-20T00:00:00Z,IMP921572,DEC9628,OFFICE92,CNTRY713,8484100000,43925,0.0027538522,1141,0.0009356759346638577,867,0.0004554396437015384,1071,-0.006274104118347168,909
C12894,2020-04-20T00:00:00Z,IMP921572,DEC9628,OFFICE92,CNTRY713,7307910000,43924,0.008971805,677,0.00504886364381425,660,0.0001857630704762414,1412,-0.006555661559104919,940
C12894,2020-04-20T00:00:00Z,IMP921572,DEC9628,OFFICE92,CNTRY713,7307910000,43923,0.0338649,257,0.030615204493872325,451,0.002464795252308249,653,-0.0059365034103393555,864
C12907,2020-04-20T00:00:00Z,IMP327159,DEC2179,OFFICE92,CNTRY863,2309909000,43831,0.022304479,336,0.01192142236148894,549,0.14841187000274658,193,0.14230100810527802,174
C12911,2020-04-20T00:00:00Z,IMP256823,DEC7588,OFFICE92,CNTRY680,1103110000,43862,0.0025002477,1218,0.0003134496598326495,1011,1.1808861017925665e-06,2122,-0.019851773977279663,2119
C12911,2020-04-20T00:00:00Z,IMP256823,DEC7588,OFFICE92,CNTRY680,1105100000,43863,0.0026617897999999997,1186,5.131733040534894e-05,1135,1.44927787459892e-06,2120,-0.01807861030101776,2111
C12912,2020-04-20T00:00:00Z,IMP529701,DECW26,OFFICE92,CNTRY317,3907600069,43831,0.11841361,152,0.8607626759249959,86,0.9677629470825196,47,0.7302396893501282,11
